Code	Year1	Year2	Year3	Slope	Sharp	STD
'519066'	 21.12	 12.88	 -9.39	  0.17	  4.36	  1.69
'519165'	 20.26	  1.16	-32.53	  0.00	  1.61	  1.88
'519181'	 20.86	  5.16	 -7.07	  0.10	  2.21	  1.93
'519601'	 25.80	 21.05	-28.65	  0.04	  1.73	  1.83
'519602'	 25.93	 31.43	-27.98	  0.03	  1.62	  1.56
'519664'	 40.21	  9.60	-19.63	  0.09	  4.50	  2.08
'519665'	 38.81	  8.58	-19.73	  0.08	  4.32	  2.08
'519697'	 28.79	 12.00	  6.11	  0.21	  6.87	  1.49
'519709'	 29.01	 26.86	-20.89	  0.04	  2.10	  1.46
'519710'	 20.30	 17.39	-11.17	  0.06	  1.68	  1.44
'519712'	 27.96	 14.85	-15.76	  0.14	  4.38	  1.91
'519714'	 20.53	 25.90	-11.47	  0.14	  0.98	  2.09
'519732'	 43.64	 19.20	 -3.20	  0.18	  7.42	  1.40
'519736'	 21.00	 25.87	-14.12	  0.15	  4.00	  1.81
'519915'	 23.73	-20.96	-28.02	 -0.05	  0.78	  1.95
'530015'	 22.02	 20.70	-15.52	  0.10	  5.41	  1.56
'540009'	 25.65	 22.55	-28.55	  0.04	  1.20	  1.73
'570001'	 34.37	 20.90	-17.09	  0.09	  5.39	  1.64
'570007'	 26.15	 13.76	-23.33	  0.05	  3.91	  1.93
'660010'	 33.68	 21.38	-41.81	  0.02	  1.88	  1.76
'690004'	 26.29	 21.01	-24.71	  0.07	  4.73	  1.94
'690007'	 20.21	 23.83	 -8.89	  0.13	  4.73	  1.79
'710002'	 21.90	  6.69	-19.95	  0.13	  5.11	  1.79
